Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Status
ai-builder-hoodie,AI Builder Hoodie,"<p>Premium hoodie for AI-powered developers. Made with soft, breathable fabric perfect for long coding sessions. Stay comfortable while building the future with AI.</p>",The Merch Concept,Apparel & Accessories > Clothing,Hoodies,"ai, developer, hoodie, programming, builder",TRUE,Size,S,,,,,LVB-HOODIE-AI-S,500,shopify,50,deny,manual,59.99,,TRUE,TRUE,,,,,FALSE,AI Builder Hoodie - Premium Developer Hoodie,Premium hoodie for AI-powered developers. Perfect for coding sessions.,Apparel & Accessories > Clothing > Activewear > Hoodies,Unisex,Adult,LVB-HOODIE-AI,Hoodies,Developer Merchandise,new,FALSE,Featured,Hoodies,Developer,AI,Premium,,,lb,,TRUE,59.99,,active
ai-builder-hoodie,AI Builder Hoodie,"<p>Premium hoodie for AI-powered developers. Made with soft, breathable fabric perfect for long coding sessions. Stay comfortable while building the future with AI.</p>",The Merch Concept,Apparel & Accessories > Clothing,Hoodies,"ai, developer, hoodie, programming, builder",TRUE,Size,M,,,,,LVB-HOODIE-AI-M,500,shopify,50,deny,manual,59.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,59.99,,active
ai-builder-hoodie,AI Builder Hoodie,"<p>Premium hoodie for AI-powered developers. Made with soft, breathable fabric perfect for long coding sessions. Stay comfortable while building the future with AI.</p>",The Merch Concept,Apparel & Accessories > Clothing,Hoodies,"ai, developer, hoodie, programming, builder",TRUE,Size,L,,,,,LVB-HOODIE-AI-L,500,shopify,50,deny,manual,59.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,59.99,,active
ai-builder-hoodie,AI Builder Hoodie,"<p>Premium hoodie for AI-powered developers. Made with soft, breathable fabric perfect for long coding sessions. Stay comfortable while building the future with AI.</p>",The Merch Concept,Apparel & Accessories > Clothing,Hoodies,"ai, developer, hoodie, programming, builder",TRUE,Size,XL,,,,,LVB-HOODIE-AI-XL,500,shopify,50,deny,manual,59.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,59.99,,active
ai-builder-hoodie,AI Builder Hoodie,"<p>Premium hoodie for AI-powered developers. Made with soft, breathable fabric perfect for long coding sessions. Stay comfortable while building the future with AI.</p>",The Merch Concept,Apparel & Accessories > Clothing,Hoodies,"ai, developer, hoodie, programming, builder",TRUE,Size,XXL,,,,,LVB-HOODIE-AI-XXL,500,shopify,30,deny,manual,59.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,59.99,,active
chat-ai-tee,Chat with AI Tee,<p>Comfortable t-shirt celebrating AI builders. Show your passion for building with AI. Perfect for everyday wear and tech meetups.</p>,The Merch Concept,Apparel & Accessories > Clothing,T-Shirts,"ai, tshirt, developer, chat, builder",TRUE,Size,S,,,,,LVB-TEE-CHAT-S,200,shopify,100,deny,manual,29.99,,TRUE,TRUE,,,,,FALSE,Chat with AI Tee - Developer T-Shirt,Comfortable t-shirt for AI builders and developers.,Apparel & Accessories > Clothing > Shirts & Tops,Unisex,Adult,LVB-TEE-CHAT,T-Shirts,Developer Merchandise,new,FALSE,Featured,T-Shirts,Developer,AI,,,,lb,,TRUE,29.99,,active
chat-ai-tee,Chat with AI Tee,<p>Comfortable t-shirt celebrating AI builders. Show your passion for building with AI. Perfect for everyday wear and tech meetups.</p>,The Merch Concept,Apparel & Accessories > Clothing,T-Shirts,"ai, tshirt, developer, chat, builder",TRUE,Size,M,,,,,LVB-TEE-CHAT-M,200,shopify,100,deny,manual,29.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,29.99,,active
chat-ai-tee,Chat with AI Tee,<p>Comfortable t-shirt celebrating AI builders. Show your passion for building with AI. Perfect for everyday wear and tech meetups.</p>,The Merch Concept,Apparel & Accessories > Clothing,T-Shirts,"ai, tshirt, developer, chat, builder",TRUE,Size,L,,,,,LVB-TEE-CHAT-L,200,shopify,100,deny,manual,29.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,29.99,,active
chat-ai-tee,Chat with AI Tee,<p>Comfortable t-shirt celebrating AI builders. Show your passion for building with AI. Perfect for everyday wear and tech meetups.</p>,The Merch Concept,Apparel & Accessories > Clothing,T-Shirts,"ai, tshirt, developer, chat, builder",TRUE,Size,XL,,,,,LVB-TEE-CHAT-XL,200,shopify,100,deny,manual,29.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,29.99,,active
chat-ai-tee,Chat with AI Tee,<p>Comfortable t-shirt celebrating AI builders. Show your passion for building with AI. Perfect for everyday wear and tech meetups.</p>,The Merch Concept,Apparel & Accessories > Clothing,T-Shirts,"ai, tshirt, developer, chat, builder",TRUE,Size,XXL,,,,,LVB-TEE-CHAT-XXL,200,shopify,50,deny,manual,29.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,29.99,,active
code-generator-hoodie,Code Generator Hoodie,<p>Stay warm while building with AI. Premium quality hoodie for developers who generate code with AI assistance. Comfortable and stylish.</p>,The Merch Concept,Apparel & Accessories > Clothing,Hoodies,"ai, hoodie, code, developer, generator",TRUE,Size,S,,,,,LVB-HOODIE-CODE-S,500,shopify,50,deny,manual,64.99,,TRUE,TRUE,,,,,FALSE,Code Generator Hoodie - Developer Apparel,Premium hoodie for AI-powered code generation enthusiasts.,Apparel & Accessories > Clothing > Activewear > Hoodies,Unisex,Adult,LVB-HOODIE-CODE,Hoodies,Developer Merchandise,new,FALSE,Featured,Hoodies,Developer,AI,Premium,,,lb,,TRUE,64.99,,active
code-generator-hoodie,Code Generator Hoodie,<p>Stay warm while building with AI. Premium quality hoodie for developers who generate code with AI assistance. Comfortable and stylish.</p>,The Merch Concept,Apparel & Accessories > Clothing,Hoodies,"ai, hoodie, code, developer, generator",TRUE,Size,M,,,,,LVB-HOODIE-CODE-M,500,shopify,50,deny,manual,64.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,64.99,,active
code-generator-hoodie,Code Generator Hoodie,<p>Stay warm while building with AI. Premium quality hoodie for developers who generate code with AI assistance. Comfortable and stylish.</p>,The Merch Concept,Apparel & Accessories > Clothing,Hoodies,"ai, hoodie, code, developer, generator",TRUE,Size,L,,,,,LVB-HOODIE-CODE-L,500,shopify,50,deny,manual,64.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,64.99,,active
code-generator-hoodie,Code Generator Hoodie,<p>Stay warm while building with AI. Premium quality hoodie for developers who generate code with AI assistance. Comfortable and stylish.</p>,The Merch Concept,Apparel & Accessories > Clothing,Hoodies,"ai, hoodie, code, developer, generator",TRUE,Size,XL,,,,,LVB-HOODIE-CODE-XL,500,shopify,50,deny,manual,64.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,64.99,,active
code-generator-hoodie,Code Generator Hoodie,<p>Stay warm while building with AI. Premium quality hoodie for developers who generate code with AI assistance. Comfortable and stylish.</p>,The Merch Concept,Apparel & Accessories > Clothing,Hoodies,"ai, hoodie, code, developer, generator",TRUE,Size,XXL,,,,,LVB-HOODIE-CODE-XXL,500,shopify,30,deny,manual,64.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,64.99,,active
lovable-sticker-pack,Lovable Sticker Pack,<p>Set of 10 premium vinyl stickers featuring AI and developer themes. Perfect for laptops, water bottles, and tech gear. Weather-resistant and durable.</p>,The Merch Concept,Home & Garden > Decor,Stickers,"stickers, accessories, pack, vinyl, laptop",TRUE,,,,,,,LVB-STICKER-PACK,10,shopify,200,deny,manual,9.99,,TRUE,TRUE,,,,,FALSE,Lovable Sticker Pack - 10 Premium Developer Stickers,Set of 10 premium stickers for developers and AI enthusiasts.,Home & Garden > Decor > Decals & Stickers,Unisex,Adult,LVB-STICKER-PACK,Stickers,Developer Merchandise,new,FALSE,Best Seller,Stickers,Accessories,Value Pack,,,,lb,,TRUE,9.99,,active
ai-developer-tee,AI Developer Tee,<p>Show your AI developer pride with this comfortable t-shirt. Perfect for coding sessions and tech events. Made from high-quality cotton blend.</p>,The Merch Concept,Apparel & Accessories > Clothing,T-Shirts,"ai, tshirt, developer, programming",TRUE,Size,S,,,,,LVB-TEE-DEV-S,200,shopify,100,deny,manual,27.99,,TRUE,TRUE,,,,,FALSE,AI Developer Tee - Show Your Developer Pride,Comfortable t-shirt for AI developers and programmers.,Apparel & Accessories > Clothing > Shirts & Tops,Unisex,Adult,LVB-TEE-DEV,T-Shirts,Developer Merchandise,new,FALSE,Featured,T-Shirts,Developer,AI,,,,lb,,TRUE,27.99,,active
ai-developer-tee,AI Developer Tee,<p>Show your AI developer pride with this comfortable t-shirt. Perfect for coding sessions and tech events. Made from high-quality cotton blend.</p>,The Merch Concept,Apparel & Accessories > Clothing,T-Shirts,"ai, tshirt, developer, programming",TRUE,Size,M,,,,,LVB-TEE-DEV-M,200,shopify,100,deny,manual,27.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,27.99,,active
ai-developer-tee,AI Developer Tee,<p>Show your AI developer pride with this comfortable t-shirt. Perfect for coding sessions and tech events. Made from high-quality cotton blend.</p>,The Merch Concept,Apparel & Accessories > Clothing,T-Shirts,"ai, tshirt, developer, programming",TRUE,Size,L,,,,,LVB-TEE-DEV-L,200,shopify,100,deny,manual,27.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,27.99,,active
ai-developer-tee,AI Developer Tee,<p>Show your AI developer pride with this comfortable t-shirt. Perfect for coding sessions and tech events. Made from high-quality cotton blend.</p>,The Merch Concept,Apparel & Accessories > Clothing,T-Shirts,"ai, tshirt, developer, programming",TRUE,Size,XL,,,,,LVB-TEE-DEV-XL,200,shopify,100,deny,manual,27.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,27.99,,active
ai-developer-tee,AI Developer Tee,<p>Show your AI developer pride with this comfortable t-shirt. Perfect for coding sessions and tech events. Made from high-quality cotton blend.</p>,The Merch Concept,Apparel & Accessories > Clothing,T-Shirts,"ai, tshirt, developer, programming",TRUE,Size,XXL,,,,,LVB-TEE-DEV-XXL,200,shopify,50,deny,manual,27.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,27.99,,active
build-fast-hoodie,Build Fast Hoodie,<p>For developers who ship quickly. Premium hoodie celebrating rapid development with AI tools. Comfortable fit for long coding sessions.</p>,The Merch Concept,Apparel & Accessories > Clothing,Hoodies,"ai, hoodie, developer, fast, shipping",TRUE,Size,S,,,,,LVB-HOODIE-FAST-S,500,shopify,50,deny,manual,62.99,,TRUE,TRUE,,,,,FALSE,Build Fast Hoodie - Ship Code Faster,Premium hoodie for developers who ship code quickly.,Apparel & Accessories > Clothing > Activewear > Hoodies,Unisex,Adult,LVB-HOODIE-FAST,Hoodies,Developer Merchandise,new,FALSE,Featured,Hoodies,Developer,AI,Premium,,,lb,,TRUE,62.99,,active
build-fast-hoodie,Build Fast Hoodie,<p>For developers who ship quickly. Premium hoodie celebrating rapid development with AI tools. Comfortable fit for long coding sessions.</p>,The Merch Concept,Apparel & Accessories > Clothing,Hoodies,"ai, hoodie, developer, fast, shipping",TRUE,Size,M,,,,,LVB-HOODIE-FAST-M,500,shopify,50,deny,manual,62.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,62.99,,active
build-fast-hoodie,Build Fast Hoodie,<p>For developers who ship quickly. Premium hoodie celebrating rapid development with AI tools. Comfortable fit for long coding sessions.</p>,The Merch Concept,Apparel & Accessories > Clothing,Hoodies,"ai, hoodie, developer, fast, shipping",TRUE,Size,L,,,,,LVB-HOODIE-FAST-L,500,shopify,50,deny,manual,62.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,62.99,,active
build-fast-hoodie,Build Fast Hoodie,<p>For developers who ship quickly. Premium hoodie celebrating rapid development with AI tools. Comfortable fit for long coding sessions.</p>,The Merch Concept,Apparel & Accessories > Clothing,Hoodies,"ai, hoodie, developer, fast, shipping",TRUE,Size,XL,,,,,LVB-HOODIE-FAST-XL,500,shopify,50,deny,manual,62.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,62.99,,active
build-fast-hoodie,Build Fast Hoodie,<p>For developers who ship quickly. Premium hoodie celebrating rapid development with AI tools. Comfortable fit for long coding sessions.</p>,The Merch Concept,Apparel & Accessories > Clothing,Hoodies,"ai, hoodie, developer, fast, shipping",TRUE,Size,XXL,,,,,LVB-HOODIE-FAST-XXL,500,shopify,30,deny,manual,62.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,62.99,,active
gradient-logo-sticker,Gradient Logo Sticker,<p>Holographic Lovable logo sticker with stunning gradient effect. Premium vinyl material that's weather-resistant and perfect for any surface.</p>,The Merch Concept,Home & Garden > Decor,Stickers,"stickers, logo, holographic, gradient, vinyl",TRUE,,,,,,,LVB-STICKER-LOGO,5,shopify,300,deny,manual,4.99,,TRUE,TRUE,,,,,FALSE,Gradient Logo Sticker - Holographic Vinyl,Premium holographic sticker with gradient logo design.,Home & Garden > Decor > Decals & Stickers,Unisex,Adult,LVB-STICKER-LOGO,Stickers,Developer Merchandise,new,FALSE,Best Seller,Stickers,Logo,Holographic,,,,lb,,TRUE,4.99,,active
ai-powered-tee,AI Powered Tee,<p>Celebrate the AI revolution with this stylish t-shirt. Perfect for developers and tech enthusiasts. Comfortable cotton blend fabric.</p>,The Merch Concept,Apparel & Accessories > Clothing,T-Shirts,"ai, tshirt, powered, tech, revolution",TRUE,Size,S,,,,,LVB-TEE-POWERED-S,200,shopify,100,deny,manual,31.99,,TRUE,TRUE,,,,,FALSE,AI Powered Tee - Celebrate AI Revolution,Stylish t-shirt celebrating AI and technology.,Apparel & Accessories > Clothing > Shirts & Tops,Unisex,Adult,LVB-TEE-POWERED,T-Shirts,Developer Merchandise,new,FALSE,Featured,T-Shirts,Developer,AI,,,,lb,,TRUE,31.99,,active
ai-powered-tee,AI Powered Tee,<p>Celebrate the AI revolution with this stylish t-shirt. Perfect for developers and tech enthusiasts. Comfortable cotton blend fabric.</p>,The Merch Concept,Apparel & Accessories > Clothing,T-Shirts,"ai, tshirt, powered, tech, revolution",TRUE,Size,M,,,,,LVB-TEE-POWERED-M,200,shopify,100,deny,manual,31.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,31.99,,active
ai-powered-tee,AI Powered Tee,<p>Celebrate the AI revolution with this stylish t-shirt. Perfect for developers and tech enthusiasts. Comfortable cotton blend fabric.</p>,The Merch Concept,Apparel & Accessories > Clothing,T-Shirts,"ai, tshirt, powered, tech, revolution",TRUE,Size,L,,,,,LVB-TEE-POWERED-L,200,shopify,100,deny,manual,31.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,31.99,,active
ai-powered-tee,AI Powered Tee,<p>Celebrate the AI revolution with this stylish t-shirt. Perfect for developers and tech enthusiasts. Comfortable cotton blend fabric.</p>,The Merch Concept,Apparel & Accessories > Clothing,T-Shirts,"ai, tshirt, powered, tech, revolution",TRUE,Size,XL,,,,,LVB-TEE-POWERED-XL,200,shopify,100,deny,manual,31.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,31.99,,active
ai-powered-tee,AI Powered Tee,<p>Celebrate the AI revolution with this stylish t-shirt. Perfect for developers and tech enthusiasts. Comfortable cotton blend fabric.</p>,The Merch Concept,Apparel & Accessories > Clothing,T-Shirts,"ai, tshirt, powered, tech, revolution",TRUE,Size,XXL,,,,,LVB-TEE-POWERED-XXL,200,shopify,50,deny,manual,31.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,,lb,,TRUE,31.99,,active
developer-cap,Developer Cap,<p>Adjustable cap with embroidered logo. Perfect for sunny coding days outdoors or casual wear. One size fits most with adjustable strap.</p>,The Merch Concept,Apparel & Accessories > Clothing,Accessories,"accessories, cap, hat, embroidered, adjustable",TRUE,Size,One Size,,,,,LVB-CAP-DEV,100,shopify,75,deny,manual,24.99,,TRUE,TRUE,,,,,FALSE,Developer Cap - Embroidered Logo Hat,Adjustable developer cap with embroidered logo.,Apparel & Accessories > Clothing Accessories > Hats,Unisex,Adult,LVB-CAP-DEV,Accessories,Developer Merchandise,new,FALSE,Featured,Accessories,Hat,Cap,,,,lb,,TRUE,24.99,,active
coding-mug,Coding Mug,<p>Ceramic mug for your favorite beverage. Perfect size for coffee or tea during coding sessions. Microwave and dishwasher safe with vibrant print.</p>,The Merch Concept,Home & Garden > Kitchen & Dining,Accessories,"accessories, mug, coffee, ceramic, kitchen",TRUE,Size,11oz,,,,,LVB-MUG-CODING,400,shopify,150,deny,manual,16.99,,TRUE,TRUE,,,,,FALSE,Coding Mug - Developer Coffee Cup,Ceramic mug perfect for coding sessions.,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,Unisex,Adult,LVB-MUG-CODING,Accessories,Developer Merchandise,new,FALSE,Best Seller,Accessories,Mug,Kitchen,,,,lb,,TRUE,16.99,,active
keyboard-stickers,Keyboard Stickers,<p>Customize your keyboard with these premium vinyl stickers. Set includes stickers for common developer keys and shortcuts. Easy to apply and remove.</p>,The Merch Concept,Home & Garden > Decor,Stickers,"stickers, keyboard, accessories, vinyl, tech",TRUE,,,,,,,LVB-STICKER-KEYBOARD,10,shopify,200,deny,manual,7.99,,TRUE,TRUE,,,,,FALSE,Keyboard Stickers - Customize Your Setup,Premium keyboard stickers for developers.,Home & Garden > Decor > Decals & Stickers,Unisex,Adult,LVB-STICKER-KEYBOARD,Stickers,Developer Merchandise,new,FALSE,Featured,Stickers,Accessories,Keyboard,,,,lb,,TRUE,7.99,,active
tech-tote-bag,Tech Tote Bag,<p>Durable canvas tote bag perfect for carrying your laptop and tech gear. Spacious interior with reinforced handles. Great for commuting or travel.</p>,The Merch Concept,Apparel & Accessories > Handbags,Accessories,"accessories, bag, tote, canvas, laptop",TRUE,Size,One Size,,,,,LVB-TOTE-TECH,300,shopify,100,deny,manual,19.99,,TRUE,TRUE,,,,,FALSE,Tech Tote Bag - Durable Canvas Bag,Durable canvas tote bag for tech gear.,Apparel & Accessories > Handbags, Wallets & Cases > Tote Bags,Unisex,Adult,LVB-TOTE-TECH,Accessories,Developer Merchandise,new,FALSE,Featured,Accessories,Bag,Canvas,Tote,,,lb,,TRUE,19.99,,active